79
4668371	[('4668371', 0.99999999999999967), ('7753132', 0.94568751725215172), ('7660422', 0.91984333104690919), ('13704222', 0.28009392980983533), ('11423352', 0.23479373620076863), ('14161800', 0.20719329515372337), ('7824502', 0.19440815549593232), ('14362432', 0.17462642919772356), ('3107931', 0.17437747779805987), ('7785972', 0.11131059494922085)]
5274961	[('5274961', 0.99999999999999967), ('10065622', 0.97024080343042296), ('6153192', 0.27388282417442789), ('3916611', 0.13411140403492294), ('12395472', 0.13400293203227648), ('14092703', 0.094144810307576154), ('5879482', 0.092895291410813124), ('12201712', 0.081107117302474732), ('2694621', 0.046555552391259782), ('7943482', 0.043645103656892212)]
5537752	[('5537752', 1.0), ('10131552', 0.67350482962982527), ('2074441', 0.67309050181474994), ('14185900', 0.66732350319549527), ('6433622', 0.65723487288689508), ('14089604', 0.62029378129163637), ('14161800', 0.59466437372916658), ('12790212', 0.49705405328077534), ('7824502', 0.47099381938562307), ('14319086', 0.36753498007379098)]
5615382	[('5615382', 0.99999999999999989), ('2029941', 0.97833617910133031), ('2694621', 0.79981210165400507), ('11189192', 0.58351530549150943), ('14349934', 0.49235128920834265), ('14296544', 0.45349264013782592), ('7762292', 0.43425551154959802), ('10227502', 0.37641402545128988), ('14135156', 0.37115110663209777), ('9985092', 0.35071793094024162)]
5649682	[('5649682', 0.99999999999999989), ('14300942', 0.96756042976600665), ('14319086', 0.78970455221207025), ('12201712', 0.21637880916583241), ('7943482', 0.19744071551290746), ('8642162', 0.13037004280628334), ('5615382', 0.12049258987067098), ('2029941', 0.11728432525520985), ('1250991', 0.1087639756475456), ('10227502', 0.087433577947195751)]
5788292	[('5788292', 1.0000000000000002), ('14444101', 0.70051254629449644), ('8694842', 0.47641413982434583), ('265153', 0.36724225665430954), ('11423352', 0.35983244404032827), ('13704222', 0.3537128312468113), ('3107931', 0.35233162034652366), ('2694621', 0.34024407598729223), ('14089604', 0.3339791112876857), ('8291782', 0.25682843283875156)]
5879482	[('5879482', 1.0), ('7308342', 0.67283881863603967), ('818185', 0.67283881863603923), ('6887162', 0.65538279908771091), ('14253480', 0.65538279908771002), ('11753302', 0.64712440498710888), ('14214862', 0.6420353446259256), ('10123222', 0.62941331323265637), ('14161800', 0.58237087846503377), ('2694621', 0.56670737271052973)]
6153192	[('6153192', 0.99999999999999989), ('14452765', 0.87637740913975626), ('14512287', 0.29641983372475156), ('5274961', 0.27388282417442789), ('7446782', 0.22956673089793361), ('8038092', 0.22623172593924692), ('265153', 0.19982485269259015), ('5879482', 0.15400165031573623), ('3916611', 0.1246247562769566), ('7226732', 0.12250724804141946)]
6433622	[('6433622', 0.99999999999999956), ('5537752', 0.65723487288689508), ('12395472', 0.60879756307285837), ('9985092', 0.54580496827069269), ('14161800', 0.54424088112602265), ('14089604', 0.53670671029799588), ('2074441', 0.47417647597582258), ('10131552', 0.45393332637470341), ('5879482', 0.45144005722572916), ('12457922', 0.41851919685021016)]
6512132	[('6512132', 0.99999999999999967), ('7771572', 0.78407753414984349), ('3916611', 0.59170486174891412), ('1250991', 0.4324176805798462), ('14135156', 0.41336746481526532), ('8642162', 0.20634047976780778), ('14349934', 0.20384787789492409), ('2694621', 0.17936412750123293), ('11051712', 0.17682921171658689), ('14161800', 0.17211692841236675)]
